time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
324,0,4568,24
328,0,244568,32
376,0,244576,48
384,0,244584,40
392,0,244568,32
400,0,244568,32
408,0,244568,32
412,0,244580,44
416,0,244580,44
420,0,244568,32
424,0,244568,32
428,0,244576,48
432,0,244576,48
436,0,304568,40
440,0,244688,48
444,0,244568,32
448,0,244600,40
452,0,244584,40
456,0,245036,52
460,0,244568,32
464,0,244596,44
468,0,244568,32
472,0,244568,32
476,0,244576,48
481,0,364568,40
485,0,244624,48
489,0,244580,44
493,0,244584,40
497,0,244576,48
501,0,244568,32
505,0,244584,40
509,0,244584,40
513,0,244568,32
517,0,244576,48
521,0,244576,48
525,0,244584,40
531,0,244568,32
538,0,244684,52
542,0,244576,48
546,0,244576,48
550,0,244576,48
554,0,244568,32
558,0,244576,48
562,0,244568,32
567,0,484568,40
569,0,245108,68
578,0,249204,76
581,0,245108,68
