time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
326,0,404568,32
398,0,404576,48
406,0,404568,32
414,0,404568,32
418,0,404580,44
422,0,404580,44
426,0,404568,32
430,0,404568,32
434,0,404568,32
438,0,404568,32
442,0,404568,32
446,0,404568,32
450,0,404576,48
454,0,404568,32
458,0,404764,52
462,0,404576,48
466,0,404584,40
470,0,404576,48
474,0,404960,48
478,0,404580,44
483,0,404580,44
490,0,404576,48
494,0,404576,48
498,0,404576,48
502,0,404568,32
506,0,404568,32
510,0,404580,44
514,0,404576,48
518,0,404580,44
522,0,404568,32
526,0,404568,32
530,0,404568,32
534,0,404568,32
538,0,404616,40
542,0,404568,32
548,0,404576,48
555,0,404592,48
559,0,604568,40
563,0,404580,44
567,0,404576,48
571,0,404616,40
575,0,404576,48
579,0,404576,48
583,0,404580,44
587,0,404576,48
591,0,404576,48
595,0,404664,40
599,0,404580,44
603,0,404580,44
607,0,404568,32
611,0,404568,32
615,0,404580,44
619,0,404580,44
623,0,404568,32
627,0,404568,32
631,0,404568,32
635,0,404576,48
639,0,404568,32
643,0,404576,48
647,0,404580,44
651,0,404576,48
655,0,404568,32
659,0,404568,32
663,0,404592,48
667,0,404580,44
671,0,404580,44
675,0,404664,40
679,0,404580,44
683,0,404576,48
699,0,404580,44
703,0,404568,32
705,0,804568,40
715,0,409202,78
719,0,404634,54
