time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
329,0,3004568,32
855,0,3004576,48
919,0,3004568,32
967,0,3004580,44
1010,0,3004576,48
1074,0,3004568,32
1106,0,3004568,32
1142,0,3004580,44
1205,0,3004592,48
1269,0,3004660,44
1333,0,3004576,48
1365,0,3004568,32
1402,0,3754568,40
1459,0,3004580,44
1523,0,3004580,44
1587,0,3004576,48
1651,0,3004576,48
1715,0,3004752,48
1779,0,3004568,32
1843,0,3004580,44
1907,0,3004580,44
1952,0,4504568,40
2000,0,3004576,48
2067,0,3004576,48
2099,0,3004576,48
2139,0,3004576,48
2203,0,3004568,32
2235,0,3004568,32
2278,0,3004616,40
2342,0,3004576,48
2374,0,3004576,48
2406,0,3004576,48
2438,0,3004568,32
2470,0,3004612,44
2502,0,3004568,32
2543,0,3004568,32
2575,0,3004752,48
2607,0,3004568,32
2639,0,3004576,48
2671,0,3004592,48
2703,0,3004568,32
2735,0,3004568,32
2767,0,3004568,32
2799,0,3004568,32
2831,0,3004616,40
2863,0,3004568,32
2895,0,3004592,48
2950,0,3004580,44
2958,0,3004568,32
2966,0,3004568,32
2974,0,3004580,44
2982,0,3004568,32
2990,0,3004576,48
2998,0,3004568,32
3006,0,3004592,48
3014,0,3004568,32
3022,0,3004568,32
3030,0,3004660,44
3038,0,3004568,32
3046,0,3004592,48
3054,0,3004576,48
3062,0,3004576,48
3070,0,3004580,44
3078,0,3004568,32
3093,0,6004568,40
3106,0,3009197,67
