time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
328,0,3004568,32
868,0,3004576,48
932,0,3004568,32
978,0,3004568,32
1037,0,3004576,48
1101,0,3004576,48
1169,0,3004576,48
1232,0,3004576,48
1264,0,3004580,44
1306,0,3004580,44
1362,0,3004568,32
1426,0,3754568,40
1481,0,3004580,44
1537,0,3004568,32
1593,0,3004576,48
1621,0,3004580,44
1670,0,3004588,52
1726,0,3004592,48
1754,0,3004568,32
1799,0,3004612,44
1855,0,3004568,32
1911,0,3004568,32
1939,0,3004568,32
1983,0,4504568,40
2032,0,3004576,48
2104,0,3004576,48
2160,0,3004568,32
2216,0,3004592,48
2272,0,3004592,48
2317,0,3004616,40
2373,0,3004568,32
2401,0,3004568,32
2443,0,3004612,44
2499,0,3004568,32
2555,0,3004568,32
2611,0,3004576,48
2667,0,3004580,44
2723,0,3004568,32
2751,0,3004568,32
2793,0,3004592,48
2849,0,3004656,48
2878,0,3004568,32
2934,0,3004580,44
2962,0,3004576,48
3016,0,3004576,48
3072,0,3004616,40
3100,0,3004576,48
3149,0,3004568,32
3156,0,3004580,44
3163,0,3004568,32
3171,0,3004568,32
3181,0,3004568,32
3195,0,6004568,40
3208,0,3009205,75
