time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
328,0,2004568,32
643,0,2004576,48
675,0,2004584,40
706,0,2067068,52
751,0,2129568,48
806,0,2004576,48
844,0,2254568,40
876,0,2004576,48
908,0,2004568,32
944,0,2004568,32
994,0,2004568,32
1038,0,2504568,40
1082,0,2004568,32
1110,0,2004568,32
1138,0,2004576,48
1166,0,2004576,48
1194,0,2004568,32
1236,0,2004584,40
1272,0,2004584,40
1300,0,2004568,32
1328,0,2004568,32
1356,0,2004576,48
1384,0,2004576,48
1430,0,3004568,40
1458,0,2004584,40
1486,0,2004568,32
1514,0,2004584,40
1542,0,2004568,32
1570,0,2004568,32
1606,0,2004576,48
1634,0,2004568,32
1662,0,2004568,32
1690,0,2004568,32
1718,0,2004568,32
1746,0,2004568,32
1781,0,2004580,44
1809,0,2004568,32
1844,0,2004596,44
1912,0,2004584,40
1940,0,2004576,48
1968,0,2004628,44
1996,0,2004576,48
2024,0,2004584,40
2052,0,2004584,40
2080,0,2004584,40
2128,0,2004688,48
2156,0,2004568,32
2198,0,2004584,40
2205,0,2004580,44
2212,0,2004596,44
2219,0,2004596,44
2226,0,2004568,32
2233,0,2004568,32
2241,0,4004568,40
2253,0,2009197,67
