time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
324,0,4568,24
327,0,124568,32
349,0,124576,48
353,0,124568,32
357,0,124596,44
359,0,124568,32
361,0,124568,32
363,0,124576,48
365,0,139568,48
367,0,124576,48
369,0,124596,44
371,0,124568,32
373,0,124568,32
375,0,124576,48
377,0,124584,40
379,0,124568,32
381,0,124568,32
383,0,124576,48
385,0,124568,32
387,0,124576,48
389,0,124568,32
391,0,124568,32
393,0,124568,32
395,0,124568,32
397,0,124576,48
399,0,124568,32
401,0,124568,32
403,0,124576,48
405,0,124584,40
407,0,124596,44
409,0,184568,40
411,0,124568,32
413,0,124600,40
415,0,124584,40
417,0,124584,40
419,0,124580,44
421,0,124584,40
423,0,124576,48
425,0,124584,40
427,0,124568,32
429,0,124576,48
431,0,124580,44
433,0,124568,32
436,0,124568,32
439,0,124576,48
441,0,124568,32
443,0,124584,40
446,0,124584,40
448,0,124688,48
450,0,124568,32
452,0,124568,32
453,0,244568,40
455,0,125100,60
463,0,129196,68
466,0,125100,60
