time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
328,0,4004568,32
1023,0,4004576,48
1115,0,4004584,40
1199,0,4004584,40
1258,0,4004568,32
1332,0,4004600,40
1396,0,4004568,32
1460,0,4004568,32
1524,0,4004568,32
1596,0,4004576,48
1633,0,4004584,40
1697,0,4004584,40
1785,0,5004568,40
1849,0,4004576,48
1913,0,4004568,32
1977,0,4004600,40
2041,0,4004568,32
2105,0,4004576,48
2185,0,4004568,32
2259,0,4004584,40
2331,0,4004568,32
2395,0,4004576,48
2459,0,4004568,32
2523,0,4004568,32
2568,0,6004568,40
2632,0,4004568,32
2696,0,4004584,40
2736,0,4004576,48
2800,0,4004576,48
2864,0,4004568,32
2928,0,4004596,44
3017,0,4004584,40
3081,0,4004568,32
3137,0,4004568,32
3200,0,4004632,40
3264,0,4004568,32
3297,0,4004568,32
3361,0,4004568,32
3401,0,4004568,32
3539,0,4004628,44
3603,0,4004568,32
3675,0,4004568,32
3739,0,4004584,40
3803,0,4004568,32
3867,0,4004568,32
3931,0,4004568,32
3995,0,4004568,32
4075,0,4004576,48
4083,0,4004568,32
4091,0,4004584,40
4099,0,4004576,48
4107,0,4004812,52
4115,0,4004576,48
4123,0,4004568,32
4131,0,4004576,48
4139,0,4004600,40
4147,0,4004568,32
4155,0,4004576,48
4163,0,4004568,32
4171,0,4004568,32
4179,0,4004568,32
4187,0,8004568,40
4199,0,8004568,40
4212,0,4009207,73
