time,stack,heap,heap_extra
0,0,0,0
318,0,472,16
326,0,3004568,32
858,0,3004576,48
919,0,3004580,44
952,0,3004568,32
1001,0,3004568,32
1056,0,3004580,44
1120,0,3004576,48
1169,0,3004576,48
1233,0,3004568,32
1297,0,3004580,44
1361,0,3004576,48
1393,0,3004580,44
1434,0,3004580,44
1496,0,3004580,44
1560,0,3004568,32
1624,0,3004588,52
1688,0,3004576,48
1752,0,3004576,48
1816,0,3004580,44
1880,0,3004568,32
1912,0,3004576,48
1963,0,4504568,40
2011,0,3004568,32
2076,0,3004576,48
2108,0,3004612,44
2164,0,3004568,32
2228,0,3004576,48
2292,0,3004568,32
2324,0,3004568,32
2356,0,3004568,32
2388,0,3004568,32
2420,0,3004568,32
2452,0,3004568,32
2484,0,3004580,44
2516,0,3004576,48
2564,0,3004576,48
2596,0,3004568,32
2628,0,3004576,48
2660,0,3004576,48
2692,0,3004580,44
2724,0,3004580,44
2756,0,3004568,32
2788,0,3004592,48
2820,0,3004616,40
2852,0,3004568,32
2884,0,3004580,44
2916,0,3004612,44
2969,0,3004580,44
2977,0,3004568,32
2985,0,3004576,48
2993,0,3004568,32
3001,0,3004568,32
3009,0,3004568,32
3017,0,3004568,32
3025,0,3004568,32
3033,0,3004568,32
3041,0,3004568,32
3049,0,3005300,44
3057,0,3004588,52
3065,0,3004576,48
3073,0,3004580,44
3081,0,3004568,32
3089,0,3004660,44
3098,0,3004568,32
3107,0,6004568,40
3119,0,3009196,68
