time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
324,0,4568,24
327,0,244568,32
371,0,244576,48
375,0,244568,32
377,0,244688,48
379,0,244568,32
381,0,244584,40
383,0,244576,48
385,0,244576,48
387,0,259568,48
389,0,244568,32
391,0,244568,32
393,0,244596,44
395,0,244576,48
397,0,244576,48
399,0,244568,32
401,0,244596,44
403,0,244568,32
405,0,244568,32
407,0,244576,48
409,0,244596,44
411,0,244568,32
413,0,244584,40
415,0,244568,32
417,0,244576,48
419,0,244576,48
421,0,244580,44
423,0,244568,32
425,0,244568,32
427,0,244568,32
430,0,304568,40
432,0,244584,40
434,0,244576,48
436,0,244576,48
438,0,244568,32
440,0,244684,52
442,0,244568,32
444,0,244568,32
446,0,244576,48
448,0,244576,48
450,0,244576,48
452,0,244568,32
454,0,244576,48
456,0,244568,32
458,0,244628,44
460,0,244568,32
462,0,244568,32
465,0,244568,32
467,0,244568,32
469,0,244684,52
469,0,364568,40
471,0,244568,32
473,0,244568,32
475,0,244584,40
477,0,244568,32
479,0,244568,32
481,0,244568,32
483,0,244576,48
485,0,244596,44
487,0,244568,32
489,0,244576,48
491,0,244576,48
493,0,244584,40
495,0,244568,32
497,0,244576,48
499,0,244568,32
501,0,244576,48
503,0,244568,32
505,0,244568,32
507,0,244584,40
509,0,244568,32
511,0,244596,44
513,0,244568,32
515,0,244568,32
517,0,244568,32
522,0,244684,52
524,0,244600,40
526,0,244596,44
528,0,244596,44
530,0,244568,32
532,0,244568,32
534,0,245036,52
536,0,244568,32
538,0,244576,48
540,0,244568,32
542,0,244576,48
544,0,244576,48
546,0,244584,40
548,0,244596,44
549,0,484568,40
551,0,245106,70
560,0,249202,78
563,0,245106,70
