time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
327,0,404568,32
401,0,404576,48
409,0,404592,48
417,0,404592,48
421,0,404580,44
425,0,404592,48
429,0,429568,48
433,0,404568,32
437,0,404568,32
441,0,404592,48
445,0,404568,32
449,0,404568,32
453,0,404580,44
457,0,404568,32
461,0,404568,32
465,0,404568,32
469,0,404580,44
473,0,404568,32
477,0,404580,44
481,0,404576,48
487,0,504568,40
491,0,404576,48
495,0,404568,32
499,0,404576,48
503,0,404760,40
507,0,404580,44
511,0,404568,32
515,0,404568,32
519,0,404576,48
523,0,404580,44
527,0,404568,32
531,0,404568,32
535,0,404576,48
539,0,404580,44
543,0,404568,32
549,0,404568,32
555,0,404592,48
558,0,604568,40
562,0,404568,32
566,0,404568,32
570,0,404592,48
574,0,404580,44
578,0,404616,40
582,0,404568,32
586,0,404592,48
590,0,404568,32
594,0,404568,32
598,0,404568,32
601,0,404568,32
604,0,404568,32
607,0,404664,40
610,0,404580,44
613,0,404568,32
616,0,404568,32
619,0,404576,48
622,0,404580,44
625,0,404664,40
628,0,404576,48
631,0,404580,44
634,0,404668,52
637,0,404576,48
640,0,404616,40
643,0,404592,48
646,0,404568,32
649,0,404568,32
652,0,404568,32
655,0,404580,44
658,0,404568,32
661,0,404620,52
664,0,404596,44
667,0,404568,32
670,0,404616,40
673,0,404576,48
676,0,404580,44
679,0,404764,52
682,0,404664,40
685,0,404568,32
688,0,404576,48
702,0,404580,44
705,0,404568,32
709,0,804568,40
719,0,409194,70
722,0,405098,62
