time,stack,heap,heap_extra
0,0,0,0
318,0,472,16
326,0,3004568,32
857,0,3004576,48
921,0,3004568,32
964,0,3004568,32
1024,0,3004592,48
1088,0,3004660,44
1120,0,3004568,32
1178,0,3004568,32
1242,0,3004568,32
1306,0,3004576,48
1370,0,3004568,32
1405,0,3754568,40
1463,0,3004580,44
1497,0,3004580,44
1561,0,3004568,32
1625,0,3004568,32
1689,0,3004568,32
1753,0,3004592,48
1817,0,3004576,48
1881,0,3004568,32
1913,0,3004588,52
1968,0,4504568,40
2016,0,3004616,40
2089,0,3004576,48
2153,0,3004576,48
2217,0,3004568,32
2249,0,3004660,44
2298,0,3004616,40
2330,0,3004592,48
2362,0,3004612,44
2394,0,3004576,48
2426,0,3004576,48
2458,0,3004576,48
2490,0,3004588,52
2522,0,3004568,32
2554,0,3004576,48
2586,0,3004580,44
2618,0,3004568,32
2650,0,3004576,48
2682,0,3004576,48
2714,0,3004580,44
2746,0,3004568,32
2778,0,3004612,44
2810,0,3004568,32
2842,0,3004576,48
2874,0,3004580,44
2906,0,3004568,32
2954,0,3004568,32
2962,0,3004576,48
2973,0,3004576,48
2981,0,3004568,32
2989,0,3004576,48
2997,0,3004592,48
3005,0,3004576,48
3013,0,3004568,32
3021,0,3004576,48
3029,0,3004568,32
3037,0,3004568,32
3045,0,3004576,48
3053,0,3004580,44
3061,0,3004576,48
3069,0,3004576,48
3077,0,3004568,32
3085,0,3004592,48
3093,0,3004576,48
3101,0,3004568,32
3109,0,3004568,32
3117,0,3004568,32
3132,0,6004568,40
3145,0,3009202,78
