time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
326,0,4568,24
329,0,124568,32
352,0,124576,48
356,0,124576,48
360,0,124584,40
364,0,124568,32
366,0,124576,48
368,0,139568,48
370,0,124576,48
372,0,124568,32
374,0,124580,44
376,0,124576,48
378,0,124576,48
380,0,124584,40
382,0,124576,48
384,0,124568,32
386,0,128316,52
388,0,124568,32
390,0,124576,48
392,0,124568,32
394,0,124584,40
396,0,124580,44
398,0,124596,44
400,0,124576,48
402,0,124576,48
404,0,124596,44
406,0,124628,44
408,0,124576,48
410,0,124568,32
412,0,184568,40
414,0,124576,48
416,0,124584,40
418,0,124576,48
420,0,124584,40
422,0,124596,44
424,0,124584,40
426,0,124580,44
428,0,124580,44
430,0,124596,44
432,0,124576,48
434,0,124584,40
436,0,124568,32
438,0,124576,48
440,0,124568,32
442,0,124568,32
444,0,124576,48
446,0,124576,48
448,0,124576,48
450,0,124568,32
452,0,124568,32
453,0,244568,40
455,0,125105,71
463,0,129201,79
466,0,125105,71
