time,stack,heap,heap_extra
0,0,0,0
326,0,472,16
330,0,4568,24
333,0,24568,32
338,0,24576,48
339,0,24576,48
339,0,24608,48
340,0,24568,32
340,0,24568,32
341,0,24588,52
341,0,24576,48
342,0,24568,32
342,0,24568,32
343,0,24576,48
343,0,24576,48
344,0,24568,32
344,0,24568,32
345,0,24576,48
345,0,24576,48
346,0,24568,32
346,0,24568,32
347,0,24576,48
347,0,24568,32
348,0,24584,40
348,0,34568,40
348,0,24580,44
349,0,24568,32
349,0,24576,48
350,0,24568,32
350,0,24568,32
351,0,24576,48
351,0,24608,48
352,0,24568,32
352,0,24576,48
353,0,24568,32
353,0,24588,52
354,0,24568,32
354,0,24568,32
355,0,24588,52
355,0,24588,52
356,0,24568,32
356,0,25192,40
357,0,24568,32
357,0,24576,48
358,0,24568,32
358,0,24576,48
359,0,24568,32
359,0,25192,40
359,0,24568,32
359,0,25816,40
359,0,24568,32
359,0,27068,52
359,0,24568,32
359,0,29568,48
359,0,24568,32
359,0,34568,40
359,0,24568,32
359,0,44568,40
359,0,44568,40
359,0,24568,32
360,0,24632,40
361,0,25104,56
369,0,29200,64
372,0,25104,56
373,0,24632,40
373,0,20536,32
373,0,20064,16
373,0,20000,8
373,0,0,0
