time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,124568,32
349,0,124576,48
353,0,124576,48
355,0,124596,44
357,0,124568,32
359,0,124568,32
361,0,124568,32
363,0,124568,32
365,0,124596,44
367,0,124596,44
369,0,124584,40
371,0,124568,32
373,0,124576,48
375,0,124576,48
377,0,124576,48
379,0,124568,32
381,0,124596,44
383,0,154568,40
385,0,124584,40
387,0,124568,32
389,0,124576,48
391,0,124576,48
393,0,124568,32
395,0,124568,32
397,0,124568,32
399,0,124568,32
401,0,124628,44
403,0,124568,32
405,0,124568,32
408,0,184568,40
410,0,124568,32
412,0,124576,48
414,0,124596,44
416,0,124596,44
418,0,124576,48
420,0,124584,40
422,0,124580,44
424,0,124580,44
426,0,124568,32
428,0,124568,32
431,0,124596,44
433,0,124576,48
435,0,124804,44
437,0,124580,44
439,0,124600,40
441,0,124568,32
444,0,124600,40
446,0,124580,44
447,0,244568,40
449,0,125106,70
456,0,129202,78
459,0,125106,70
