time,stack,heap,heap_extra
0,0,0,0
318,0,472,16
325,0,1004568,32
502,0,1004576,48
518,0,1020196,44
526,0,1004568,32
534,0,1004568,32
542,0,1004576,48
550,0,1004568,32
563,0,1067068,52
571,0,1004584,40
579,0,1004576,48
587,0,1004596,44
595,0,1004568,32
603,0,1004576,48
611,0,1004576,48
619,0,1004580,44
627,0,1004632,40
635,0,1004600,40
643,0,1004568,32
651,0,1004568,32
660,0,1004576,48
668,0,1004568,32
676,0,1004584,40
684,0,1004568,32
693,0,1004584,40
707,0,1004568,32
715,0,1004576,48
723,0,1004568,32
731,0,1004568,32
739,0,1004568,32
747,0,1004576,48
755,0,1004576,48
763,0,1004568,32
771,0,1004576,48
779,0,1004584,40
791,0,1004576,48
805,0,1004600,40
813,0,1004568,32
821,0,1004812,52
829,0,1004596,44
837,0,1004600,40
845,0,1004568,32
853,0,1004568,32
861,0,1004568,32
875,0,1504568,40
883,0,1004580,44
891,0,1004576,48
899,0,1004568,32
907,0,1004568,32
914,0,1004576,48
921,0,1004576,48
928,0,1004584,40
935,0,1004632,40
942,0,1004568,32
949,0,1004568,32
956,0,1004596,44
963,0,1004812,52
970,0,1004584,40
977,0,1004568,32
984,0,1004584,40
991,0,1004568,32
998,0,1004580,44
1005,0,1004584,40
1012,0,1004568,32
1019,0,1004576,48
1026,0,1004568,32
1033,0,1004584,40
1040,0,1004568,32
1047,0,1004596,44
1054,0,1004576,48
1061,0,1004568,32
1095,0,1004584,40
1102,0,1004568,32
1109,0,1004568,32
1116,0,1004580,44
1124,0,1004628,44
1131,0,1004584,40
1138,0,1004576,48
1145,0,1004576,48
1152,0,1004568,32
1159,0,1004584,40
1166,0,1004568,32
1173,0,1004576,48
1180,0,1004584,40
1187,0,1004576,48
1194,0,1004584,40
1201,0,1004576,48
1208,0,1004568,32
1215,0,1004568,32
1222,0,1004576,48
1229,0,1004688,48
1236,0,1004568,32
1241,0,2004568,40
1252,0,1009203,77
