time,stack,heap,heap_extra
0,0,0,0
327,0,472,16
331,0,4568,24
334,0,44568,32
343,0,44576,48
344,0,44576,48
345,0,44724,44
346,0,44576,48
347,0,44568,32
348,0,44588,52
349,0,44576,48
350,0,44568,32
351,0,44568,32
352,0,44576,48
353,0,44568,32
354,0,44568,32
355,0,44568,32
356,0,44568,32
357,0,44576,48
358,0,44580,44
359,0,44568,32
360,0,44568,32
361,0,44588,52
362,0,44588,52
363,0,44568,32
364,0,64568,40
365,0,64568,40
366,0,44588,52
367,0,44580,44
368,0,44576,48
369,0,44576,48
370,0,44576,48
371,0,44576,48
372,0,44568,32
373,0,44568,32
374,0,44576,48
375,0,44568,32
376,0,44608,48
377,0,44576,48
378,0,44568,32
379,0,44584,40
380,0,44576,48
381,0,44608,48
382,0,44580,44
383,0,44568,32
384,0,49568,48
385,0,44580,44
386,0,44576,48
387,0,44568,32
388,0,44588,52
389,0,44608,48
389,0,84568,40
390,0,44634,54
391,0,45106,70
399,0,49202,78
402,0,45106,70
403,0,44634,54
