time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
327,0,3004568,32
856,0,3004576,48
920,0,3005304,40
958,0,3004576,48
990,0,3004568,32
1038,0,3004576,48
1102,0,3004612,44
1145,0,3004568,32
1208,0,3004580,44
1272,0,3004580,44
1336,0,3004576,48
1368,0,3004592,48
1404,0,3754568,40
1461,0,3004580,44
1525,0,3004576,48
1589,0,3004568,32
1653,0,3004568,32
1717,0,3004592,48
1781,0,3004612,44
1845,0,3004580,44
1909,0,3004580,44
1964,0,4504568,40
2012,0,3004568,32
2086,0,3004576,48
2150,0,3004576,48
2214,0,3004568,32
2246,0,3004592,48
2278,0,3004588,52
2310,0,3004568,32
2342,0,3004568,32
2374,0,3004568,32
2406,0,3004568,32
2438,0,3004580,44
2470,0,3004568,32
2502,0,3004568,32
2550,0,3004588,52
2582,0,3004568,32
2614,0,3004580,44
2646,0,3004568,32
2678,0,3004592,48
2710,0,3004656,48
2742,0,3004576,48
2774,0,3004576,48
2806,0,3004580,44
2838,0,3004568,32
2870,0,3004576,48
2902,0,3004588,52
2950,0,3004580,44
2958,0,3004588,52
2968,0,3004576,48
2976,0,3004568,32
2984,0,3004580,44
2992,0,3004580,44
3000,0,3004592,48
3008,0,3004580,44
3016,0,3004576,48
3024,0,3004592,48
3032,0,3004660,44
3040,0,3004580,44
3048,0,3004588,52
3056,0,3004580,44
3064,0,3004592,48
3072,0,3004576,48
3080,0,3004568,32
3088,0,3004568,32
3096,0,3004576,48
3104,0,3004580,44
3112,0,3004568,32
3120,0,3004568,32
3128,0,6004568,40
3141,0,3009203,77
