time,stack,heap,heap_extra
0,0,0,0
323,0,472,16
327,0,4568,24
330,0,44568,32
339,0,44576,48
340,0,44576,48
341,0,45192,40
342,0,44568,32
343,0,44568,32
344,0,44580,44
345,0,44576,48
346,0,44580,44
347,0,44568,32
348,0,44568,32
349,0,44576,48
350,0,44568,32
351,0,44568,32
352,0,44576,48
353,0,44576,48
354,0,44568,32
355,0,45196,52
356,0,44568,32
357,0,44880,48
358,0,44576,48
359,0,44568,32
360,0,64568,40
361,0,64568,40
362,0,44576,48
363,0,44568,32
364,0,44568,32
365,0,44568,32
366,0,44576,48
367,0,44580,44
368,0,44576,48
369,0,44588,52
370,0,44568,32
371,0,44588,52
372,0,44568,32
373,0,44580,44
374,0,44576,48
375,0,44576,48
376,0,44588,52
377,0,44576,48
378,0,44576,48
379,0,44568,32
380,0,45816,40
381,0,44588,52
382,0,44604,52
383,0,44608,48
384,0,44588,52
385,0,44568,32
386,0,84568,40
387,0,45108,68
395,0,49204,76
398,0,45108,68
399,0,44636,52
