time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
326,0,4568,24
329,0,124568,32
352,0,124576,48
356,0,124568,32
360,0,124584,40
362,0,124568,32
364,0,124568,32
366,0,124568,32
368,0,139568,48
370,0,124584,40
372,0,124568,32
374,0,124596,44
376,0,124568,32
378,0,124576,48
380,0,124576,48
382,0,124568,32
384,0,124568,32
386,0,124576,48
388,0,124568,32
390,0,124568,32
392,0,124584,40
394,0,124568,32
396,0,124596,44
398,0,124576,48
400,0,124684,52
402,0,124576,48
404,0,124568,32
406,0,124596,44
408,0,124568,32
411,0,184568,40
413,0,124568,32
415,0,124576,48
417,0,124576,48
419,0,124596,44
421,0,124584,40
423,0,124568,32
425,0,124580,44
427,0,124568,32
429,0,124568,32
431,0,124596,44
433,0,124576,48
435,0,124600,40
437,0,124576,48
439,0,124568,32
441,0,124576,48
443,0,124624,48
445,0,124580,44
447,0,124568,32
449,0,124596,44
451,0,244568,40
453,0,125100,60
460,0,129196,68
463,0,125100,60
