time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
326,0,4004568,32
1022,0,4004576,48
1086,0,4004576,48
1179,0,4004576,48
1276,0,4004568,32
1340,0,4004576,48
1404,0,4004600,40
1503,0,4004692,44
1559,0,4004568,32
1623,0,4004584,40
1679,0,4004576,48
1735,0,4004568,32
1809,0,4004568,32
1865,0,4004576,48
1943,0,4004576,48
1999,0,4004576,48
2055,0,4004576,48
2111,0,4004576,48
2167,0,4004576,48
2238,0,4004584,40
2294,0,4004568,32
2350,0,4004568,32
2444,0,4004688,48
2500,0,4004576,48
2547,0,6004568,40
2638,0,4004628,44
2694,0,4004576,48
2750,0,4004576,48
2806,0,4004576,48
2905,0,4004568,32
2961,0,4004584,40
3017,0,4004812,52
3073,0,4004628,44
3131,0,4004576,48
3187,0,4004596,44
3286,0,4004812,52
3384,0,4004576,48
3519,0,4004628,44
3575,0,4004568,32
3631,0,4004568,32
3687,0,4004628,44
3764,0,4004584,40
3820,0,4004580,44
3876,0,4004568,32
3932,0,4004568,32
3988,0,4004568,32
4044,0,4004568,32
4116,0,4004568,32
4123,0,4004576,48
4130,0,4004580,44
4137,0,4004584,40
4144,0,4004568,32
4151,0,4004568,32
4158,0,4004568,32
4166,0,4004568,32
4173,0,4004568,32
4185,0,8004568,40
4199,0,4009207,73
