time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
324,0,4568,24
327,0,244568,32
371,0,244576,48
375,0,244568,32
379,0,244628,44
383,0,244568,32
385,0,244584,40
387,0,259568,48
389,0,244568,32
391,0,244568,32
393,0,244568,32
395,0,244568,32
397,0,244568,32
399,0,244628,44
401,0,244580,44
403,0,244596,44
405,0,244568,32
407,0,244576,48
409,0,244584,40
411,0,244568,32
413,0,244600,40
415,0,244576,48
417,0,244568,32
419,0,244684,52
421,0,244568,32
423,0,244568,32
425,0,244576,48
427,0,244568,32
429,0,244568,32
431,0,304568,40
433,0,244580,44
435,0,244596,44
437,0,244568,32
439,0,244596,44
441,0,244576,48
443,0,244584,40
445,0,244568,32
447,0,244576,48
449,0,244584,40
451,0,244576,48
453,0,244568,32
455,0,244568,32
457,0,244576,48
459,0,244576,48
461,0,244576,48
463,0,244584,40
465,0,244568,32
467,0,244576,48
469,0,244568,32
471,0,244568,32
471,0,364568,40
473,0,244576,48
475,0,244568,32
477,0,244568,32
479,0,244584,40
481,0,244576,48
483,0,244576,48
485,0,244576,48
487,0,244576,48
489,0,244684,52
491,0,244568,32
493,0,244576,48
495,0,244568,32
497,0,244576,48
499,0,244568,32
501,0,244568,32
503,0,244568,32
505,0,244568,32
507,0,244568,32
509,0,244568,32
511,0,244568,32
513,0,244628,44
515,0,244624,48
517,0,244576,48
519,0,244568,32
527,0,244684,52
529,0,244576,48
531,0,244580,44
533,0,244568,32
535,0,244568,32
537,0,244576,48
539,0,244568,32
541,0,244576,48
543,0,244584,40
545,0,244576,48
547,0,244576,48
549,0,244580,44
551,0,244576,48
553,0,244568,32
555,0,244576,48
557,0,484568,40
558,0,484568,40
560,0,245105,71
568,0,249201,79
572,0,245105,71
