time,stack,heap,heap_extra
0,0,0,0
318,0,472,16
322,0,4568,24
325,0,244568,32
368,0,244576,48
372,0,244568,32
374,0,244568,32
376,0,244576,48
378,0,244576,48
380,0,244568,32
382,0,245036,52
384,0,259568,48
386,0,244568,32
388,0,244596,44
390,0,244568,32
392,0,244568,32
394,0,244568,32
396,0,244568,32
398,0,244568,32
400,0,244576,48
402,0,244568,32
404,0,244576,48
406,0,244568,32
408,0,244568,32
410,0,244576,48
412,0,244568,32
414,0,244684,52
416,0,244568,32
418,0,244568,32
420,0,244596,44
422,0,244576,48
424,0,244568,32
427,0,304568,40
429,0,244596,44
431,0,244584,40
433,0,244628,44
435,0,244596,44
437,0,244568,32
439,0,244568,32
441,0,244568,32
443,0,245040,48
445,0,244568,32
447,0,244568,32
449,0,244568,32
451,0,244568,32
453,0,244624,48
455,0,244568,32
457,0,244568,32
459,0,244624,48
462,0,244584,40
464,0,244584,40
466,0,244580,44
466,0,364568,40
468,0,244628,44
470,0,244568,32
472,0,244628,44
474,0,244596,44
476,0,244684,52
478,0,244576,48
480,0,244568,32
482,0,244596,44
484,0,244568,32
486,0,244568,32
488,0,244684,52
490,0,244596,44
492,0,244576,48
494,0,244568,32
496,0,244576,48
498,0,244568,32
500,0,244568,32
502,0,244628,44
504,0,244576,48
506,0,244584,40
508,0,244568,32
510,0,244568,32
512,0,244568,32
514,0,244576,48
516,0,244584,40
522,0,244684,52
524,0,244568,32
526,0,244568,32
528,0,244596,44
530,0,244624,48
532,0,244800,48
534,0,244600,40
536,0,244580,44
538,0,244576,48
540,0,244576,48
542,0,244600,40
544,0,244568,32
546,0,244576,48
548,0,244576,48
550,0,244568,32
551,0,484568,40
553,0,245109,67
561,0,249205,75
564,0,245109,67
