time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
326,0,3004568,32
800,0,3004576,48
864,0,3004568,32
907,0,3004576,48
965,0,3004580,44
997,0,3004580,44
1029,0,3004580,44
1061,0,3004568,32
1117,0,3004568,32
1149,0,3004580,44
1181,0,3004568,32
1219,0,3004568,32
1275,0,3004568,32
1303,0,3006032,48
1341,0,3754568,40
1394,0,3004580,44
1424,0,3004580,44
1480,0,3004568,32
1536,0,3004592,48
1592,0,3004568,32
1628,0,3004568,32
1684,0,3004580,44
1740,0,3004568,32
1796,0,3004580,44
1852,0,3004592,48
1908,0,4504568,40
1957,0,3004660,44
2025,0,3004576,48
2081,0,3004576,48
2137,0,3004580,44
2193,0,3004568,32
2236,0,3004616,40
2292,0,3004576,48
2341,0,3004576,48
2397,0,3004576,48
2453,0,3004576,48
2509,0,3004580,44
2565,0,3004568,32
2621,0,3006032,48
2649,0,3004568,32
2691,0,3004568,32
2747,0,3004576,48
2797,0,3004576,48
2853,0,3004612,44
2916,0,3004568,32
2959,0,3004568,32
3015,0,3004580,44
3050,0,3004568,32
3057,0,3004568,32
3064,0,3004576,48
3071,0,3004568,32
3078,0,3004580,44
3086,0,3004568,32
3093,0,3004568,32
3105,0,6004568,40
3117,0,3009196,68
