time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
327,0,4004568,32
1018,0,4004576,48
1082,0,4004568,32
1153,0,4129568,48
1245,0,4254568,40
1309,0,4004568,32
1358,0,4004600,40
1431,0,4504568,40
1543,0,4004812,52
1599,0,4004568,32
1662,0,4004584,40
1718,0,4004568,32
1816,0,5004568,40
1872,0,4004576,48
1928,0,4004568,32
1987,0,4004576,48
2043,0,4004576,48
2099,0,4004584,40
2155,0,4004568,32
2218,0,4004576,48
2288,0,4004584,40
2344,0,4004568,32
2400,0,4004576,48
2456,0,4004580,44
2524,0,4004576,48
2602,0,6004568,40
2658,0,4004576,48
2714,0,4004584,40
2770,0,4004568,32
2826,0,4004568,32
2924,0,4004584,40
2980,0,4004568,32
3036,0,4004568,32
3092,0,4004584,40
3187,0,4004576,48
3278,0,4004584,40
3334,0,4004568,32
3439,0,4004568,32
3581,0,4004628,44
3637,0,4004584,40
3693,0,4004568,32
3763,0,4004576,48
3819,0,4004576,48
3875,0,4004568,32
3931,0,4004584,40
3987,0,4004576,48
4043,0,4004576,48
4113,0,4004568,32
4120,0,4004568,32
4127,0,4004568,32
4134,0,4004576,48
4141,0,4004568,32
4148,0,4004576,48
4155,0,4004568,32
4162,0,4004576,48
4169,0,4004576,48
4176,0,4004576,48
4183,0,4004568,32
4190,0,4004576,48
4197,0,4004568,32
4204,0,4004584,40
4211,0,4004568,32
4218,0,4004584,40
4227,0,4004568,32
4234,0,4004568,32
4246,0,8004568,40
4260,0,4009206,74
