time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,124568,32
349,0,124576,48
353,0,124584,40
357,0,124568,32
359,0,124804,44
361,0,124568,32
363,0,124568,32
365,0,124584,40
367,0,124584,40
369,0,124576,48
371,0,124568,32
373,0,124600,40
375,0,124584,40
377,0,124568,32
379,0,124576,48
381,0,124568,32
383,0,124576,48
385,0,124580,44
387,0,124568,32
389,0,124568,32
391,0,124568,32
393,0,124584,40
395,0,124596,44
397,0,124576,48
399,0,124568,32
401,0,124568,32
403,0,124576,48
405,0,124804,44
408,0,184568,40
410,0,124568,32
412,0,124568,32
414,0,124568,32
416,0,124576,48
418,0,124576,48
420,0,124600,40
422,0,124584,40
424,0,124576,48
426,0,124600,40
428,0,124568,32
430,0,124580,44
432,0,124576,48
434,0,124576,48
436,0,124568,32
438,0,124568,32
440,0,124568,32
442,0,124568,32
444,0,124568,32
446,0,125036,52
448,0,244568,40
450,0,125100,60
457,0,129196,68
460,0,125100,60
